homeTeam,awayTeam,homeGoals,awayGoals
Saint-Etienne,Lille,1,1
Marseille,Saint-Etienne,3,1
Monaco,Marseille,0,2
Paris Saint Germain,Lyon,2,1
Monaco,Saint-Etienne,3,1
Lille,Marseille,2,0
Saint-Etienne,Lyon,1,1
Lyon,Monaco,2,0
Marseille,Paris Saint Germain,0,0
Paris Saint Germain,Lille,2,1
Monaco,Lille,2,2
Saint-Etienne,Paris Saint Germain,1,3
Lille,Lyon,0,0
Paris Saint Germain,Monaco,2,0
Lyon,Paris Saint Germain,1,1
Marseille,Lille,1,1
Lyon,Saint-Etienne,1,0
Lyon,Marseille,2,1
Monaco,Lyon,2,0
Lille,Paris Saint Germain,1,5
Paris Saint Germain,Saint-Etienne,3,1
Lyon,Lille,0,1
Marseille,Monaco,0,1
Lille,Saint-Etienne,0,0
Monaco,Paris Saint Germain,3,0
Saint-Etienne,Marseille,2,4
Paris Saint Germain,Marseille,2,1
Saint-Etienne,Monaco,1,4
Marseille,Lyon,0,3
Lille,Monaco,1,2
